danbai,dan,danhong,hong,jiang,anhong,honghuang,qingzi,danzi,brightness,label,,
95,5,0,0,0,0,0,0,0,198.6910653,danhong,,
73,18,1,0,0,6,0,0,1,151.1309717,danhong,,
33,29,12,2,0,0,0,0,23,188.3429591,danhong,,
0,3,63,23,0,0,11,0,0,178.8945515,danhong,,
0,7,63,28,1,1,0,0,0,184.746745,danhong,,
22,47,25,1,0,0,4,0,0,140.674789,danhong,,
14,32,21,28,0,5,1,0,0,173.6720851,danhong,,
26,22,2,0,0,10,0,5,34,127.2784126,danhong,,
41,46,12,1,0,0,0,0,0,166.6947732,danhong,,
0,4,29,49,0,0,17,0,0,161.129562,danhong,,
7,17,45,26,0,5,0,0,0,148.034392,danhong,,
0,18,55,24,1,2,0,0,0,184.20004,danhong,,
6,32,42,3,0,1,17,0,0,175.1412325,danhong,,
72,22,4,0,0,0,0,0,2,132.2747135,danhong,,
